event_names,category,description,city
Electric Night,Party,An electrifying dance party with live DJs,Paris
Sunset Soiree,Party,A chic cocktail party overlooking the sunset,Montreal
Outdoor Adventure,Outdoor,A day filled with thrilling outdoor activities,Paris
Charity Ball,Party,A black-tie gala for a good cause,Montreal
Salsa in the Park,Outdoor,A lively outdoor salsa dancing event,Paris
Wine & Dine,Networking,An evening of fine wine and gourmet food,Montreal
Sports Jam,Sports,A day filled with all kinds of sports activities,Paris
Beach Bash,Outdoor,A fun-filled day at the beach,Montreal
Art & Music,Outdoor,A day of art and music exhibitions in the park,Paris
Business Brunch,Networking,A networking event over brunch,Montreal
Golf Tournament,Sports,A competitive golf tournament,Paris
City Run,Sports,A fun run through the city,Montreal
Summer Festival,Outdoor,A summer festival filled with music and food,Paris
Career Fair,Networking,A career fair for job seekers,Montreal
Basketball tournament,Sports,A basketball tournament for all ages,Paris
Foodie Festival,Outdoor,A festival showcasing local cuisine,Montreal
Movie Night,Outdoor,An outdoor movie screening event,Paris
Book Club,Networking,A book club for book lovers,Montreal
Ski Trip,Sports,A weekend ski trip to the mountains,Paris
Art Walk,Outdoor,A walk through the city to admire street art,Montreal
Food Truck Frenzy,Outdoor,A food truck festival,Paris
Social Mixer,Networking,A social mixer for young professionals,Montreal
Marathon,Sports,A marathon for runners,Paris
Music Madness,Outdoor,A day filled with live music performances,Montreal
Yoga in the Park,Outdoor,A yoga session in the park,Paris
Dinner & Dance,Party,An evening of dinner and dancing,Montreal
Cultural Celebrations,Outdoor,A day filled with cultural celebrations,Paris
Networking Night,Networking,A networking event in the evening,Montreal
Soccer Cup,Sports,A soccer tournament for all ages,Paris
Cycling Challenge,Sports,A cycling challenge through the city,Montreal
Nature Hike,Outdoor,A nature hike through the mountains,Paris
Comedy Night,Outdoor,An outdoor comedy night,Montreal
Meet the Artist,Outdoor,A meet and greet with local artists,Paris
Picnic in the Park,Outdoor,A picnic in the park with friends,Montreal
High Tea,Networking,A high tea networking event,Paris
Bike Tour,Sports,A bike tour through the city,Montreal
Fitness Bootcamp,Sports,A fitness bootcamp for all levels,Paris
Ski and Snowboard,Sports,A ski and snowboard trip to the mountains,Montreal
Fashion Show,Outdoor,A fashion show in the park,Paris
Music in the Square,Outdoor,Live music performances in the town square,Montreal
Science Fair,Outdoor,A science fair for kids,Paris
Silent Disco,Party,A silent disco party with headphones,Montreal
Snow Games,Sports,Snow games and activities in the mountains,Paris
Crazy Infant Gathering,Party,An wild and spontaneous party for everyone to enjoy.,Montreal
Authentic Beginning Bash,Party,A truly authentic and original party for the young and hip.,Paris
Random Archetypal Rager,Party,An unpredictable and exciting party for those who love to dance.,Montreal
Crazy Commencing Craze,Party,An energetic and eclectic party for those who love to party.,Paris
Initial Pristine Celebration,Party,A celebration of the beginning of a new era.,Montreal
Crazy Primeval Party,Party,An wild party for those who love to let loose.,Paris
Primary Embryonic Soiree,Party,A party to celebrate new beginnings and new relationships.,Montreal
Crazy Early Extravaganza,Party,An eclectic party for those who love to explore new experiences.,Paris
Archetypal Introductory Frenzy,Party,An exciting party to welcome new people and new experiences.,Montreal
Crazy Genuine Grand Finale,Party,An unforgettable and genuine party to end the year with a bang.,Paris
Infant Commencing Craze,Party,An spontaneous party to welcome new adventures and new memories.,Montreal
Crazy First-Hand Fiesta,Party,An energetic party for those who love to be part of the action.,Paris
Rudimentary Pristine Party,Party,A party to celebrate the start of something new.,Montreal
Crazy Proto-typical Rager,Party,An wild party for those who love to explore new things.,Paris
Embryonic Primeval Frenzy,Party,An exciting party to welcome new beginnings.,Montreal
Crazy Introductory Jubilee,Party,An celebratory party for those who love to dance.,Paris
Primary Autochthonous Party,Party,A party to celebrate our roots and where we come from.,Montreal
Crazy First-Hand Hootenanny,Party,An lively party for those who love to have fun.,Paris
Pristine Commencing Craze,Party,An spontaneous party to welcome new adventures.,Montreal
